G,P,N,A
0,381,742,1599
0,381,742,1604
0,381,745,1604
0,381,745,1609
0,376,747,1609
0,376,747,1614
0,377,745,1614
0,377,745,1614
0,383,745,1609
0,383,745,1609
0,383,747,1609
0,384,747,1614
0,384,746,1619
0,384,746,1619
0,384,743,1629
0,384,743,1634
0,384,743,1634
0,384,743,1634
0,384,746,1639
0,385,746,1639
0,385,747,1644
0,385,747,1649
0,385,746,1649
0,386,746,1654
0,386,746,1654
0,386,746,1654
0,386,748,1659
0,386,748,1659
0,386,747,1659
0,386,747,1664
0,387,744,1669
0,387,744,1669
0,387,743,1674
0,387,743,1674
0,393,746,1674
0,393,746,1674
0,388,747,1679
0,389,747,1679
0,389,745,1684
0,389,745,1684
0,389,745,1689
0,389,745,1689
0,389,748,1694
0,389,748,1694
0,389,746,1699
0,389,746,1699
0,389,743,1704
0,390,743,1704
0,390,743,1709
0,390,743,1714
0,391,745,1719
0,391,745,1719
0,391,748,1719
0,391,748,1724
0,391,746,1724
0,391,746,1724
0,391,746,1729
0,391,746,1734
0,391,748,1734
0,391,748,1734
0,392,747,1739
0,392,747,1739
0,392,744,1739
0,392,744,1744
0,393,743,1744
0,393,743,1749
0,393,746,1754
0,394,746,1754
0,394,747,1759
0,389,747,1759
0,394,745,1759
0,394,745,1764
0,394,745,1764
0,394,745,1769
0,395,747,1769
0,395,747,1774
0,395,746,1779
0,395,746,1779
0,396,743,1784
0,396,743,1784
0,396,742,1789
0,396,742,1784
0,397,746,1784
0,402,746,1789
0,402,748,1789
0,402,748,1794
0,402,747,1799
0,401,747,1804
0,396,746,1809
0,397,746,1809
0,397,748,1814
0,397,748,1814
0,397,747,1814
0,398,747,1819
0,398,744,1819
0,398,744,1824
0,398,743,1829
0,398,743,1834
0,398,746,1834
0,399,746,1834
0,404,748,1839
0,399,748,1839
0,399,748,1839
0,399,748,1839
0,400,747,1844
0,400,747,1849
0,400,749,1849
0,401,749,1849
0,401,748,1854
0,401,748,1854
0,401,745,1859
0,401,745,1859
0,401,744,1864
0,401,744,1869
0,401,747,1874
0,401,747,1874
0,401,750,1879
0,401,750,1884
0,402,748,1884
0,402,748,1884
0,407,748,1884
0,402,748,1889
0,408,749,1889
0,403,749,1889
0,408,749,1889
0,408,749,1894
0,408,746,1899
0,408,746,1904
0,404,744,1909
0,404,744,1909
0,404,747,1909
0,404,749,1914
0,404,749,1914
0,404,748,1914
0,404,748,1919
0,405,748,1924
0,405,747,1924
